T,L,M,M0,mc,rm,rm2,rm4,error,mc*tau,c,time_of_save
4.0,10,6000,4000,1,0.16791666666666463,0.04405606666666635,0.005644520666666586,0.0019661173183138786,0.23119850310980528,0.18778328801231955,2024-04-02 19:23:37.558768
3.9,10,6000,4000,1,0.1746633333333311,0.04779833333333314,0.00652900541333333,0.0020952643912586586,0.26168862372905227,0.20741141578625338,2024-04-02 19:23:41.686735
3.8,10,6000,4000,1,0.1736866666666638,0.046839599999999884,0.0060526676799999846,0.0020290313595725373,0.24079314996370926,0.1940638937044035,2024-04-02 19:23:45.663046
3.7,10,6000,4000,1,0.17720999999999823,0.04842646666666671,0.006562280666666694,0.002068116826559109,0.2537601709114419,0.2023992919849788,2024-04-02 19:23:49.631354
3.6,10,6000,4000,1,0.20194333333332976,0.06134579999999993,0.009629586960000127,0.002298824831967421,0.27092271898993714,0.21317009676658571,2024-04-02 19:23:53.857938
3.5,10,6000,4000,1,0.2028733333333302,0.0633122666666669,0.01103180266666687,0.002436945294149068,0.3041691092002444,0.23322827312385125,2024-04-02 19:23:57.906628
3.4,10,6000,4000,1,0.21524999999999753,0.07074526666666706,0.013423623226666865,0.002571180063076902,0.3124008145468485,0.23803765670072036,2024-04-02 19:24:01.903231
3.3,10,6000,4000,1,0.2171733333333306,0.07166520000000032,0.013944484320000134,0.0025884387836868183,0.3203784553795679,0.242641383668646,2024-04-02 19:24:05.834757
3.2,10,6000,4000,1,0.2271999999999974,0.07874280000000042,0.016211719520000143,0.0027461977923729135,0.3341569999918982,0.25046302646084934,2024-04-02 19:24:10.220253
3.1,10,6000,4000,1,0.25482333333333035,0.09644380000000029,0.02291287960000017,0.0029551385572097978,0.3314653202072749,0.24894776842980357,2024-04-02 19:24:14.669711
3.0,10,6000,4000,1,0.2680133333333309,0.10571586666666653,0.027170625866667013,0.0030727363131131447,0.3359262079893415,0.2514556612336642,2024-04-02 19:24:18.987249
2.9,10,6000,4000,1,0.3077799999999985,0.13841666666666624,0.044883111946667074,0.0035473149117934404,0.36408647170709874,0.266908644912708,2024-04-02 19:24:23.517657
2.8,10,6000,4000,1,0.32949999999999635,0.15610706666666654,0.054235836426666746,0.003673518037123119,0.3516389431602958,0.26015745176601773,2024-04-02 19:24:27.919143
4.0,20,7000,5000,1,0.07993571428571299,0.010139342857142897,0.00032028985571428553,0.0008894497604234485,0.23845344042367617,0.19254130404942876,2024-04-02 19:24:29.870030
2.7,10,6000,4000,1,0.40202333333332935,0.21885966666666745,0.09141336882666688,0.003915872557099369,0.30371523841796744,0.23296133194432847,2024-04-02 19:24:32.403591
2.6,10,6000,4000,1,0.47397666666666505,0.2861760666666674,0.1376051683466656,0.0038984008209424887,0.24107553316778482,0.19424726918308613,2024-04-02 19:24:36.731111
2.5,10,6000,4000,1,0.5252499999999976,0.33972859999999944,0.1795118821599972,0.0038806911909406586,0.20768418132822242,0.17196895060744227,2024-04-02 19:24:40.954709
2.48,10,9000,6000,1,0.5586866666666664,0.3791347111110996,0.21285694199110308,0.0032176489198948565,0.19532783829351139,0.1634094279711311,2024-04-02 19:24:47.084198
3.9,20,7000,5000,1,0.08610999999999845,0.011480364285714358,0.0003699191519642861,0.0009265539083911762,0.2390991586578871,0.1929620861956391,2024-04-02 19:24:50.563211
2.46,10,9000,6000,1,0.5662711111111113,0.3866639111110985,0.22047638865776864,0.003175153658892224,0.18737208173875242,0.1578040149507055,2024-04-02 19:24:53.160729
2.44,10,9000,6000,1,0.6049644444444483,0.4268951999999829,0.25256048565332884,0.002970723621200382,0.1519667508370854,0.13191938979719478,2024-04-02 19:24:59.089342
2.42,10,9000,6000,1,0.6326577777777821,0.45833982222220077,0.27927079043555586,0.002856614359653638,0.1322073458073417,0.11676955311844296,2024-04-02 19:25:05.034946
3.8,20,7000,5000,1,0.08643071428571307,0.011660096428571451,0.00038951850098214297,0.0009500363051454272,0.25396684330024893,0.20253074844614477,2024-04-02 19:25:10.976553
2.4,10,9000,6000,1,0.6394266666666705,0.46920639999998337,0.2936008200533362,0.002919570044137244,0.13569010661019454,0.11947810923104903,2024-04-02 19:25:11.195428
2.38,10,9000,6000,1,0.6444577777777779,0.47292995555553435,0.2954914623288893,0.0028329832438683668,0.12697022570948457,0.11266511112088202,2024-04-02 19:25:17.331924
2.36,10,9000,6000,1,0.6558244444444487,0.49354911111109234,0.3199735290844487,0.002996137774018207,0.1367215688124966,0.12027709560866878,2024-04-02 19:25:23.503397
2.34,10,9000,6000,1,0.7007333333333345,0.5449451555555428,0.36812055491556533,0.0026841901247006673,0.10132004549149111,0.09199872998432036,2024-04-02 19:25:29.590927
3.7,20,7000,5000,1,0.09102428571428411,0.012891435714285797,0.00047689204625000006,0.0010129676353339224,0.2797112924627043,0.21857374714918848,2024-04-02 19:25:31.466860
2.32,10,9000,6000,1,0.7129955555555505,0.5542819555555464,0.3723068705422322,0.002438275135053329,0.08261644340410775,0.07631183131149759,2024-04-02 19:25:35.538532
2.3,10,9000,6000,1,0.7449955555555509,0.5942914666666593,0.4126398631466826,0.002219089299409556,0.06424408093370212,0.06036592740768483,2024-04-02 19:25:41.637050
2.28,10,9000,6000,1,0.7394777777777786,0.5925915111111083,0.41642420673779323,0.0024225042769294406,0.07705397087513342,0.07154142035475264,2024-04-02 19:25:47.581645
3.6,20,7000,5000,1,0.09303214285714088,0.013797396428571425,0.0006063144002678559,0.0010892610692802972,0.30754128103910083,0.23520579082191448,2024-04-02 19:25:51.503405
2.26,10,9000,6000,1,0.7612799999999934,0.6195293333333314,0.4438278224000163,0.0022372872741900666,0.06336579161724451,0.05958983457693629,2024-04-02 19:25:53.612202
2.24,10,9000,6000,1,0.7848866666666542,0.6537817333333354,0.4848315592000194,0.002160002496382409,0.05639170902704088,0.053381438480787434,2024-04-02 19:25:59.564813
2.22,10,9000,6000,1,0.7895711111110997,0.6584124888888906,0.489024804355574,0.0020709829015941057,0.051597419884439194,0.049065753594288275,2024-04-02 19:26:05.581367
2.2,10,9000,6000,1,0.8115111111110989,0.6861880888889005,0.5196429567289099,0.0018175598280860716,0.037881229952612776,0.03649861743269251,2024-04-02 19:26:11.716860
3.5,20,7000,5000,1,0.0961828571428557,0.014476842857142966,0.000629399013214284,0.0010987676774593497,0.3086028178263855,0.23582619082158232,2024-04-02 19:26:11.795850
2.18,10,1100,1100,1,0.840272727272728,0.7203567272727274,0.5504948015999993,0.003665567291954256,0.016839242886364392,0.016560378648020218,2024-04-02 19:26:12.641340
2.16,10,1100,1100,1,0.8071818181818203,0.6908476363636387,0.5378523128727271,0.0063061466480765225,0.056469514572889436,0.05345115386099805,2024-04-02 19:26:13.570821
2.14,10,1100,1100,1,0.8259818181818199,0.7164861818181838,0.5687591803636367,0.005835877473651122,0.04706445851161684,0.044948960046373956,2024-04-02 19:26:14.456298
