T,L,M,M0,mc,rm,rm2,rm4,error,mc*tau,c,time_of_save
4.0,10,500,100,5,0.16704000000000008,0.04369279999999993,0.005564775679999997,0.005776529814807796,0.14149543034248474,0.02752028709535573,2024-03-23 11:30:28.588765
3.9,10,500,100,5,0.17419999999999985,0.04719279999999988,0.006315455679999998,0.006035481191242463,0.20275770588645867,0.03897119899645842,2024-03-23 11:30:30.471402
3.8,10,500,100,5,0.18188,0.05154319999999993,0.007897555519999993,0.006312055842516002,0.19744482128498347,0.03798882490803788,2024-03-23 11:30:33.065236
3.7,10,500,100,5,0.1932,0.05677759999999992,0.008892181759999996,0.006416168965884505,0.14552351344453657,0.02828157583272215,2024-03-23 11:30:35.555311
3.6,10,500,100,5,0.19760000000000003,0.05787199999999993,0.008633949439999991,0.00639629532542124,0.2164607676576542,0.041495714680674485,2024-03-23 11:30:38.856582
3.5,10,500,100,5,0.19688000000000017,0.05997439999999989,0.009853087999999992,0.006803678425915311,0.2277359312203692,0.043563013552447405,2024-03-23 11:30:41.061469
3.4,10,500,100,5,0.22012,0.07320080000000001,0.013811896639999977,0.007415582966846508,0.2775427678740064,0.05258939246565521,2024-03-23 11:30:43.112593
3.3,10,500,100,5,0.235,0.08278160000000001,0.017286247999999973,0.007900157330474488,0.33110424754186546,0.062108004677367795,2024-03-23 11:30:45.288878
3.2,10,500,100,5,0.24871999999999997,0.09392800000000003,0.022235793279999992,0.008786240702526257,0.5093071770079219,0.09244486840984681,2024-03-23 11:30:47.391727
3.1,10,500,100,5,0.2640400000000003,0.10493840000000015,0.026145634880000015,0.009298011902873743,0.56821008752701,0.10204537519153972,2024-03-23 11:30:49.767983
3.0,10,500,100,5,0.2804400000000003,0.11613040000000008,0.03137240416000003,0.009792947138529573,0.6981081588486553,0.12251577881415876,2024-03-23 11:30:51.505749
2.9,10,500,100,5,0.28436000000000017,0.12026800000000003,0.03364258528000005,0.010037542555392513,0.6958555085937583,0.12216874314031838,2024-03-23 11:30:53.285322
2.8,10,500,100,5,0.3416799999999996,0.16859680000000016,0.061313441919999885,0.011937916537692364,0.9356199429529903,0.15762800717451536,2024-03-23 11:30:55.097140
2.7,10,500,100,5,0.40332,0.21655760000000004,0.0874711452799999,0.011907631290720542,0.7888792732977418,0.13627495687059685,2024-03-23 11:30:58.812005
2.6,10,500,100,5,0.46660000000000007,0.2796088000000001,0.13189559007999999,0.012844964913440018,0.8322121209744593,0.1426923616137973,2024-03-23 11:31:02.219148
2.5,10,500,100,5,0.5156800000000005,0.33452640000000033,0.17864639039999994,0.013503166522279663,0.8224139435974085,0.14124965204539816,2024-03-23 11:31:05.150300
2.4,10,500,100,5,0.5976399999999993,0.4159831999999999,0.24188205535999985,0.011862785973177718,0.4911276879368937,0.0894402235474911,2024-03-23 11:31:06.866285
2.39,10,500,500,5,0.6510399999999998,0.48374720000000015,0.30707815808000033,0.012010048223962897,0.5103385398088077,0.0926147343075068,2024-03-23 11:31:09.304956
2.38,10,500,500,5,0.6556000000000007,0.4839264,0.3044611852799998,0.011231830064076343,0.4140236842726982,0.07647245531551766,2024-03-23 11:31:12.371647
2.37,10,500,500,5,0.6824400000000003,0.5140247999999988,0.3282225686400004,0.010478654585414726,0.3416456291912381,0.06395887202329548,2024-03-23 11:31:15.200018
2.36,10,500,500,5,0.6338800000000002,0.4674632,0.29592796064000004,0.012754979636039521,0.5972267547961886,0.10670047524596586,2024-03-23 11:31:18.141591
2.35,10,500,500,5,0.6802399999999995,0.5127695999999995,0.33131239872,0.010710243355348342,0.36526053394837954,0.06807880654391607,2024-03-23 11:31:20.210265
2.34,10,500,500,5,0.7289599999999996,0.5746032,0.3929599315200007,0.00979422359875926,0.274342472442778,0.05201453524797719,2024-03-23 11:31:21.882223
2.33,10,500,500,5,0.6585999999999993,0.4934055999999992,0.32025153183999966,0.011907370173867433,0.47111413151229664,0.08610935911550317,2024-03-23 11:31:23.562977
2.32,10,500,500,5,0.6899999999999988,0.5282400000000005,0.35050955520000043,0.010936627637176156,0.36751592046031256,0.06847039224595253,2024-03-23 11:31:25.256304
2.31,10,500,500,5,0.7607199999999991,0.6138256000000002,0.4310428460800008,0.008721026467883421,0.20619225096103744,0.03960519339695444,2024-03-23 11:31:26.928320
2.3,10,500,500,5,0.7229199999999999,0.5733687999999999,0.39823797088000096,0.010703531517233437,0.3215081747461345,0.060416739801677034,2024-03-23 11:31:28.594144
2.29,10,500,500,5,0.73552,0.5867616000000004,0.4101356736000011,0.010111173937875247,0.2919906178143308,0.05517595152784439,2024-03-23 11:31:30.298969
2.28,10,500,500,5,0.7153599999999994,0.5667536000000003,0.39574543808000046,0.011246240889205601,0.3737842162326801,0.0695569827875827,2024-03-23 11:31:31.946747
2.27,10,500,500,5,0.7636399999999999,0.6237752000000009,0.4507758320000012,0.009475416457452203,0.26228754964790524,0.049842876728668065,2024-03-23 11:31:33.597161
